p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points
3.35981829e-05,0.9999999933333333,6.666666663157628e-09,0.9999987021578001,1.29784219993212e-06,0.99999999,0.9999980532367002,0.0,-18.120683653489294,9,9
0.000615848211,0.9999929622184739,7.0377815261091214e-06,0.9991226530642136,0.0008773469357864494,0.9999894433277109,0.9986839795963203,0.0,0.46736943573682654,9,9
0.0112883789,0.9971657318500187,0.002834268149981334,0.9915195935029413,0.008480406497058723,0.9957485977750279,0.9872793902544119,0.0,0.0020833887677151226,9,9
0.0206130785,0.9805650257220325,0.019434974277967476,0.9846128576410761,0.015387142358923911,0.970847538583049,0.976919286461614,0.0,-0.0054151319915787385,9,9
0.0233572147,0.9724878658835759,0.02751213411642406,0.9820780923584379,0.017921907641562096,0.9587317988253639,0.9731171385376569,0.0,0.017746441457948185,9,9
0.0311537409,0.9447749864378334,0.05522501356216658,0.9763868604722626,0.02361313952773736,0.9171624796567501,0.9645802907083939,0.0,0.007386736305873726,9,9
0.0362021775,0.9270602614587947,0.07293973854120528,0.9727738338778563,0.02722616612214368,0.890590392188192,0.9591607508167846,0.0,0.0026485877512469874,9,9
0.0420687089,0.9029050619418987,0.09709493805810132,0.968558457962164,0.031441542037836,0.854357592912848,0.952837686943246,0.0,-0.0025767706800938453,9,9
0.0483293024,0.8813775957057813,0.11862240429421866,0.9633075674005153,0.03669243259948474,0.8220663935586721,0.9449613511007728,0.0,0.00791796558740088,9,9
0.0547144504,0.862816529410336,0.13718347058966396,0.9591884261495647,0.04081157385043532,0.7942247941155041,0.938782639224347,0.0,-0.003370874257619812,9,9
0.0635808794,0.8312490633750186,0.16875093662498142,0.9523211649535765,0.04767883504642345,0.7468735950625278,0.9284817474303648,0.0,0.0016789543811222543,9,9
0.0738841056,0.77943733107792,0.22056266892207999,0.944317775780311,0.05568222421968905,0.6691559966168801,0.9164766636704664,0.0,0.0019475652881404053,9,9
0.0858569606,0.7257722654845548,0.27422773451544524,0.9352815546277021,0.06471844537229787,0.5886583982268321,0.9029223319415531,0.0,0.0027377506183934963,9,9
0.0925524149,0.7007727993178774,0.2992272006821226,0.9309178613816428,0.06908213861835721,0.551159198976816,0.896376792072464,0.0,-0.002042053486718541,9,9
0.1,0.6817023996992854,0.31829760030071463,0.9243301281800639,0.07566987181993612,0.522553599548928,0.886495192270096,0.0,0.0037737905110302697,9,9
0.143844989,0.5377018692459626,0.46229813075403736,0.8918015954973013,0.10819840450269869,0.3065528038689439,0.8377023932459519,0.0,0.001665063935187996,9,9
0.206913808,0.4258346714833066,0.5741653285166934,0.8424986631500267,0.15750133684997325,0.13875200722496,0.76374799472504,0.0,0.005418450235117936,9,9
0.335981829,0.5034224032648853,0.4965775967351147,0.7407237318521919,0.25927626814780813,0.25513360489732795,0.611085597778288,0.0,0.00730377694238619,9,9
