check_num,p_index,p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
1,0,3.35981829e-05,0.9999980620000194,0.999998708000013,1.2919999869964727e-06,0.0,0.9999741817889889,0.29385586594779234,9,4.5271121550292515e-08,1.2579999874029468e-06,1.359999986405569e-06,0.9999983351556087,0.9999988901037392,1.1098962607869467e-06,-20.03901506615968,21.03899300505357,0.2787352790271003,9,0.006491139122058186,8.790718832196731e-07,0.010523990081426689
1,1,0.000615848211,0.9999641147429901,0.9999760764953267,2.3923504673284413e-05,0.0,0.9995182792199527,0.03718606243301721,9,2.543056892726191e-07,2.3648725113623037e-05,2.4152863258408708e-05,0.9970873958991261,0.9980582639327507,0.0019417360672493444,0.7584631924666686,0.24087602007372372,0.05698865822880156,9,0.0019261139282317607,9.270207321243614e-07,0.0041173842468261255
1,2,0.0112883789,0.999128399821391,0.9994189332142606,0.0005810667857394369,0.0,0.9903168208613714,0.08837805038996698,9,3.3711128604839475e-06,0.0005775964918279763,0.0005842633801572683,0.9885538561144613,0.9923692374096409,0.007630762590359108,-0.09257928366602006,1.0798300260683429,0.30006396559748144,9,0.000596417279267748,0.007055125194515331,0.008191847918081568
1,3,0.0206130785,0.9980183123998168,0.9986788749332112,0.0013211250667888308,0.0,0.9811009519480283,0.14760280184615765,9,8.886689746598637e-06,0.0013116729036831388,0.001330089669899146,0.9760322882396771,0.984021525493118,0.015978474506881946,0.024795369238893684,0.9523638630941584,0.2330217902347981,9,0.0004684575056434159,0.01555499280445014,0.016483069435169317
1,4,0.0233572147,0.9976130661238694,0.9984087107492462,0.0015912892507538023,0.0,0.9781330319992786,0.3040565132738247,9,9.924239747785001e-06,0.001581148584188452,0.0016006263446603519,0.9727808522721915,0.9818539015147943,0.018146098485205653,0.026542937209862293,0.9475120222632288,0.32025760827091376,9,0.00039689007131419864,0.017717933902820657,0.018573038747603063
1,5,0.0311537409,0.9962258514777415,0.997483900985161,0.0025160990148389573,0.0,0.9691870075207886,0.5873539144424688,9,1.9857824770450988e-05,0.0024980207750197048,0.002535814419441871,0.9650177203498227,0.9766784802332151,0.02332151976678487,-0.002634168920723059,0.967595986258181,0.14021244028407753,9,0.00033228057613728844,0.02298092083685738,0.02364401987022656
1,6,0.0362021775,0.9951326693986733,0.9967551129324489,0.0032448870675511055,0.0,0.962877398240392,0.6709733476648133,9,2.6730826650584546e-05,0.003219062863809303,0.003272697423272981,0.9588037484119625,0.9725358322746417,0.027464167725358313,0.006137184272943335,0.9535774166470674,0.07025649191194669,9,0.00037021150490796766,0.027076170609238316,0.027827578388390894
1,7,0.0420687089,0.9936442376835576,0.9957628251223717,0.004237174877628314,0.0,0.9550934559688954,0.6030234058629456,9,3.4716084091819e-05,0.00420218119317815,0.004270941909290577,0.953092888469071,0.968728592312714,0.03127140768728598,-0.004257249036633555,0.9569543845320083,0.3125448314532424,9,0.0003595094753623641,0.030937268063960688,0.03161945275047216
1,8,0.0483293024,0.9916020295589798,0.9944013530393199,0.0055986469606801315,0.0,0.9462648101990554,0.5605621070451761,9,4.374818222460467e-05,0.005553429224465667,0.005638365916949772,0.9460063685399362,0.9640042456932908,0.035995754306709205,-0.0044922598836653685,0.9500675396511893,0.09438468307463381,9,0.00032955057852936196,0.035653342310133174,0.036329467476705284
1,9,0.0547144504,0.9893962433060375,0.9929308288706916,0.0070691711293083825,0.0,0.9365223583494714,1.1444620971599366,8,5.7775003079442966e-05,0.007010556625894382,0.007127633761523824,0.938533100614669,0.9590220670764461,0.040977932923553895,-0.0007573903713537637,0.9396003632203906,0.34623427159528114,9,0.0003411414461333267,0.04064213548691201,0.04130275926697241
1,10,0.0635808794,0.9854562101454379,0.9903041400969587,0.009695859903041337,0.0,0.9219622532567904,1.4587582683246776,6,8.078264830934605e-05,0.009614592383854087,0.009779826568868444,0.9285174287148257,0.9523449524765505,0.04765504752344951,0.0012660446883878509,0.9258792204978634,0.34557587115447,9,0.0002897473355532185,0.0473427585665724,0.04794457296055417
1,11,0.0738841056,0.9795193382048067,0.986346225469871,0.013653774530128948,0.0,0.90315209132818,1.3783073467795277,6,0.00010936895847088956,0.01354426413122399,0.013759968769066955,0.916699808833002,0.9444665392220012,0.05553346077799881,0.0014405293747362985,0.9160744997412459,0.1343647803191399,9,0.00029262265841322306,0.055250793367492196,0.05582706077506272
1,12,0.0858569606,0.9709445562905544,0.9806297041937029,0.019370295806297122,0.0,0.8795098537325041,1.5286356820425417,5,0.00017080694526917255,0.01920953772790457,0.01955626791110389,0.9028356609716434,0.9352237739810955,0.06477622601890454,0.002408462962897997,0.9013850657659411,0.1200072043918534,9,0.0003171414616729569,0.06446457535535421,0.06508984788243491
1,13,0.0925524149,0.9646751503532485,0.9764501002354989,0.02354989976450106,0.0,0.8647635579803351,1.3496228463152415,5,0.00023085146255086,0.023341866966581394,0.023777771015555657,0.8956256010437439,0.930417067362496,0.06958293263750404,0.0017942105483525733,0.8946623574437919,0.3070289288691233,9,0.0003095778019579663,0.06927522064058111,0.06990790330092106
1,14,0.1,0.9562303364376966,0.9708202242917977,0.029179775708202293,0.0,0.8480428002700485,0.8104766437044553,5,0.00028397717899320967,0.02890931837757338,0.029486714585132905,0.889488801105112,0.926325867403408,0.07367413259659195,-0.005041362371325375,0.8915867392205903,0.2921184376298291,9,0.0002786203548514237,0.07342690059906437,0.0739536419271303
1,15,0.143844989,0.8779368012206319,0.9186245341470879,0.08137546585291211,0.0,0.7300495712174067,0.4787854652358989,4,0.000848889218060015,0.0805085431949146,0.08220341251129931,0.8372200016277999,0.8914800010852,0.10851999891480002,0.0013671389009275725,0.8361959066958464,0.29656937099021563,9,0.00038976121310263767,0.10812437225208966,0.10892059624412742
1,16,0.206913808,0.6526560034734399,0.7684373356489599,0.23156266435104012,0.0,0.5227791562763623,0.24515673639269586,3,0.0031739349428546145,0.22837866438288013,0.23496110698372233,0.764798402352016,0.843198934901344,0.156801065098656,0.006299108681719824,0.7591780689647508,0.6338253640565853,9,0.00046814794526095016,0.15630794510358714,0.15725098509415675
1,17,0.335981829,0.3689504063104959,0.579300270873664,0.420699729126336,0.0,0.1649017644485177,3.649971371813171,3,0.010303300999215578,0.4108593878914061,0.4315469610178637,0.611226403887736,0.7408176025918239,0.25918239740817606,0.007658873457999994,0.6166132544953995,0.7687358324076089,9,0.0010033983401575386,0.25813744808529215,0.26015933606507335
2,0,3.35981829e-05,0.9999960805000392,0.9999973870000262,2.612999973838903e-06,0.0,0.9999743552979898,0.3313027507357845,9,5.014019093439148e-08,2.5433199745128476e-06,2.647839973501931e-06,0.9999983351556087,0.9999988901037392,1.1098962607869467e-06,-20.03901506615968,21.03899300505357,0.2787352790271003,9,0.006491139122058186,8.790718832196731e-07,0.010523990081426689
2,1,0.000615848211,0.9999274111873508,0.9999516074582339,4.839254176614016e-05,0.0,0.9995192453566853,0.06353082173287415,9,3.9749013939203874e-07,4.800864181986331e-05,4.8824306511874305e-05,0.9970873958991261,0.9980582639327507,0.0019417360672493444,0.7584631924666686,0.24087602007372372,0.05698865822880156,9,0.0019261139282317607,9.270207321243614e-07,0.0041173842468261255
2,2,0.0112883789,0.9980397130196029,0.9986931420130686,0.00130685798693142,0.0,0.9903253255092671,0.13655609562622792,9,6.853661888162419e-06,0.0013000348125996686,0.0013138376700616882,0.9885538561144613,0.9923692374096409,0.007630762590359108,-0.09257928366602006,1.0798300260683429,0.30006396559748144,9,0.000596417279267748,0.007055125194515331,0.008191847918081568
2,3,0.0206130785,0.9952751474972485,0.9968500983314991,0.003149901668500932,0.0,0.9811214814047297,0.24265414441953542,9,1.3981640942978027e-05,0.003134143068658446,0.003162012215179857,0.9760322882396771,0.984021525493118,0.015978474506881946,0.024795369238893684,0.9523638630941584,0.2330217902347981,9,0.0004684575056434159,0.01555499280445014,0.016483069435169317
2,4,0.0233572147,0.9942176088978238,0.9961450725985492,0.0038549274014507695,0.0,0.9781731764594642,0.20503449987781797,9,1.661654105084885e-05,0.003836331864036708,0.0038700667452993853,0.9727808522721915,0.9818539015147943,0.018146098485205653,0.026542937209862293,0.9475120222632288,0.32025760827091376,9,0.00039689007131419864,0.017717933902820657,0.018573038747603063
2,5,0.0311537409,0.9905924827940752,0.9937283218627169,0.006271678137283132,0.0,0.9692166584023574,0.3884939648751118,9,2.9351745557865513e-05,0.006245523901944789,0.0063019232633808155,0.9650177203498227,0.9766784802332151,0.02332151976678487,-0.002634168920723059,0.967595986258181,0.14021244028407753,9,0.00033228057613728844,0.02298092083685738,0.02364401987022656
2,6,0.0362021775,0.9876178001238219,0.9917452000825481,0.008254799917451927,0.0,0.9629300411153919,0.5133726070307324,9,4.08962810865715e-05,0.008216999917829981,0.008295347917046652,0.9588037484119625,0.9725358322746417,0.027464167725358313,0.006137184272943335,0.9535774166470674,0.07025649191194669,9,0.00037021150490796766,0.027076170609238316,0.027827578388390894
2,7,0.0420687089,0.9835823541641764,0.9890549027761176,0.010945097223882372,0.0,0.9551476998206028,0.6274817621523421,9,5.7647812478586416e-05,0.01089223418441113,0.011006447676602344,0.953092888469071,0.968728592312714,0.03127140768728598,-0.004257249036633555,0.9569543845320083,0.3125448314532424,9,0.0003595094753623641,0.030937268063960688,0.03161945275047216
2,8,0.0483293024,0.978109784218902,0.9854065228126014,0.014593477187398562,0.0,0.9463340895434721,1.0005150298316157,9,8.336133056470432e-05,0.014520277188130648,0.014682449346508837,0.9460063685399362,0.9640042456932908,0.035995754306709205,-0.0044922598836653685,0.9500675396511893,0.09438468307463381,9,0.00032955057852936196,0.035653342310133174,0.036329467476705284
